endereço,bairros,área m²,quartos,garagem,tipo,aluguel,total,bairros_original,id_distrito
Rua Herval,belenzinho,21,1,0,Studio e kitnet,2400,2939,Belenzinho,925
Rua Oscar Freire,pinheiros,18,1,0,Apartamento,4000,4661,Pinheiros,1257
Rua Júlio Sayago,vila re,56,2,2,Casa em condomínio,1750,1954,Vila Ré,1153
Rua Barata Ribeiro,bela vista,19,1,0,Studio e kitnet,4000,4654,Bela Vista,1410
Rua Domingos Paiva,bras,50,2,1,Apartamento,3800,4587,Brás,934
Rua Guararapes,brooklin paulista,72,2,1,Apartamento,3500,5187,Brooklin Paulista,1147
Avenida Cásper Líbero,centro,26,1,0,Studio e kitnet,1727,2244,Centro,1410
Rua José Peres Campelo,piqueri,32,2,0,Apartamento,1200,1592,Piqueri,1075
Rua Guaperuvu,vila aricanduva,36,1,0,Apartamento,1200,1501,Vila Aricanduva,1077
Rua dos Carmelitas,se,63,2,0,Apartamento,1500,2020,Sé,1410
Rua Tabatinguera,se,34,1,0,Apartamento,1000,1406,Sé,1410
Rua Henrique Sertório,tatuape,32,1,0,Studio e kitnet,2100,2598,Tatuapé,1078
Rua Herison,lauzane paulista,50,3,0,Casa em condomínio,1437,1517,Lauzane Paulista,1070
Rua Scuvero,cambuci,75,2,0,Casa,2266,2422,Cambuci,983
Rua Doutor Tomaz de Lima,liberdade,64,2,0,Apartamento,1530,2049,Liberdade,1410
Rua Conselheiro Furtado,liberdade,28,1,0,Studio e kitnet,2300,2750,Liberdade,1410
Rua Guaraiuva,cidade moncoes,30,1,1,Casa,2394,2538,Cidade Monções,1147
Rua Torres da Barra,agua branca,32,1,0,Apartamento,1764,2177,Água Branca,957
Rua Guarapuava,mooca,36,1,0,Apartamento,1850,2281,Mooca,934
Rua dos Estudantes,se,30,1,0,Apartamento,1700,2066,Sé,1410
Rua Fernando de Noronha,chacara inglesa,62,2,1,Apartamento,2700,3754,Chácara Inglesa,1072
Avenida Condessa Elizabeth de Robiano,vila moreira,40,2,1,Apartamento,1900,2233,Vila Moreira,1078
Avenida dos Ourives,jardim sao saverio,63,3,1,Apartamento,1460,2018,Jardim São Savério,1148
Rua Elza Guimarães,vila amalia,59,3,1,Apartamento,1500,1958,Vila Amalia (zona Norte),1070
Avenida Cásper Líbero,centro,25,1,0,Studio e kitnet,2100,2571,Centro,1410
Rua Dom Macário,saude,54,2,0,Apartamento,1100,1462,Saúde,1072
Rua Marcelo Homem de Melo,quarta parada,62,2,0,Casa,2500,2594,Quarta Parada,987
Largo do Arouche,santa efigenia,80,1,0,Apartamento,2300,2969,Santa Efigênia,1143
Rua Ricardo Avenarius,paraiso do morumbi,24,1,0,Apartamento,900,1245,Paraíso do Morumbi,917
Rua Nova dos Portugueses,chora menino,100,3,2,Casa,2450,2771,Chora Menino,1154
Rua Itamonte,vila medeiros,48,2,1,Apartamento,1600,1955,Vila Medeiros,1069
Avenida Antônio Buono,vila guarani,35,1,0,Studio e kitnet,1110,1153,Vila Guarani(zona Leste),1073
Avenida Rangel Pestana,bras,32,1,0,Apartamento,1900,2249,Brás,934
Rua Cônego Vicente Miguel Marino,barra funda,33,1,0,Apartamento,2200,2624,Barra Funda,1143
Rua Casa do Ator,vila olimpia,69,2,1,Apartamento,2910,3970,Vila Olímpia,1256
Av.nove de Julho,bela vista,25,1,0,Apartamento,2500,3008,Bela Vista,1410
